Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSMUSG00000034903,Cobll1,0.1434727108769258,-2.932799117610317,0,1.1294292663702943,1.4973948429498622,0,2.0617814009596027,2.31691648606152,0,0.12350732537779427,-2.36581856199191,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010667057912463917
ENSMUSG00000026141,Col19a1,0.5686571389505407,2.3859313808624627,0,0.1243529183094469,-1.8031923343805332,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004,0.11266565032566135,-1.7699899084436277,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010223027428034758,0.06975284179367655,-2.488804548313687,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001704223417819222
ENSMUSG00000001506,Col1a1,0.028677240672716858,-3.951112122714189,0,0.12313008325799243,-1.0300129380238447,0.0000000000000000000000000000000000000000000000009915432056956518,1.6943534229587724,5.002922344504658,0,0.012372063682058839,-4.284406678595124,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027766475459541777
ENSMUSG00000001119,Col6a1,0.7694410774162295,1.093776230366442,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000504330661079987,0.20562441711380555,-1.7785475200189498,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007538687158329124,0.9571981679708739,0.8286748350843983,0.0000000000000000000000000000000000000000000003911686105802157,0.15806377911044137,-2.0013369122685116,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033287578327251735
ENSMUSG00000028971,Cort,0.18292013696066303,1.8517629746797777,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046527359066423175,0.060577367164359915,-1.2318681204859558,0.0000000000000000000000000000000000000000009463103631440624,0.042077171448155155,-1.633056589081932,0.0000000000000000000000000000024304551199629512,0.03604963383220593,-1.8722091251463535,0.0000000000000000000000000000000000000008834349645957079
ENSMUSG00000039714,Cplx3,0.46242591256714316,0.9614991135135469,0.000000000000000000000000000000000000000000000000000000000000000000015926428669636334,0.3460623195616151,-0.06989483796772511,0.27337751257058296,0.21682389440224215,-0.7895924782789419,0.00000000000000021700542227900746,0.01023894925411766,-5.265387696013116,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003656427418637151
ENSMUSG00000032564,Cpne4,1.2350245142203384,-1.0531032697313951,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020964029688531185,1.9846612885106054,0.1414398826270452,0.00002368390210776367,0.6578294399626881,-1.5892960369574627,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001937546605194757,5.640807793247654,2.0327588870528546,0
ENSMUSG00000022212,Cpne6,0.9232946898941388,-0.916310517573643,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007713206673621353,0.5193286399292408,-1.584780741278168,0,0.40260725249027146,-1.7989326390106075,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026559956567109537,5.759622266883977,2.938559008908695,0
ENSMUSG00000052560,Cpne8,0.8142519693271415,0.7008622588327443,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003725711205854473,0.39046063835288514,-0.9657541613027896,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002264169590044656,0.6012666849012336,-0.17312074512750264,0.00036655132755042326,0.6582791124626478,-0.028949507657320628,0.5345822379862407
ENSMUSG00000049796,Crh,0.18663996003434877,2.420185104385866,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007970192643304874,0.043645804913451866,-1.6896977658472485,0.0000000000000000000000000000000000000000000000000000000000983881103579048,0.036788783779807786,-1.7667245359278594,0.00000000000000000000000000034367567471067694,0.013011998010441192,-3.293633014241936,0.00000000000000000000000000000000000000000000000000000000000000000009709633779572405
